,ActivePower,WindSpeed,Temperature
2019-01-11 16:00:00+00:00,1235.4612,8.0521,23.5147
2019-01-11 17:00:00+00:00,1052.1051,7.7885,22.9105
2019-01-11 18:00:00+00:00,1550.5014,8.7388,22.6109
2019-01-11 19:00:00+00:00,1106.9741,7.7784,22.3307
2019-01-11 20:00:00+00:00,709.4993,6.6944,21.8936
2019-01-11 21:00:00+00:00,558.0397,6.3461,21.2838
2019-01-11 22:00:00+00:00,703.8597,6.9280,21.0387
2019-01-11 23:00:00+00:00,722.3971,7.1046,20.7516
2019-01-12 00:00:00+00:00,648.4959,6.6782,20.6004
2019-01-12 01:00:00+00:00,462.8367,6.2462,20.6903
2019-01-12 02:00:00+00:00,534.2171,6.2832,21.0271
2019-01-12 03:00:00+00:00,555.2977,6.0347,22.0106
2019-01-12 04:00:00+00:00,493.0774,5.7258,23.4096
2019-01-12 05:00:00+00:00,550.5064,5.9766,24.8399
2019-01-12 06:00:00+00:00,457.1404,5.5714,26.3647
2019-01-12 07:00:00+00:00,245.0172,4.6611,27.7248
2019-01-12 08:00:00+00:00,167.0100,4.1569,28.6923
2019-01-12 09:00:00+00:00,157.8171,4.0462,29.1507
2019-01-12 10:00:00+00:00,185.8700,4.3445,29.2963
2019-01-12 11:00:00+00:00,274.9131,4.7524,28.5943
2019-01-12 12:00:00+00:00,445.0769,5.7533,27.4101
2019-01-12 13:00:00+00:00,867.2058,7.0517,26.3837
2019-01-12 14:00:00+00:00,1032.3779,7.6675,25.3257
2019-01-12 15:00:00+00:00,1188.6882,7.8597,24.4586
2019-01-12 16:00:00+00:00,1404.2354,8.2808,23.7301
2019-01-12 17:00:00+00:00,1256.5566,8.1492,22.7048
2019-01-12 18:00:00+00:00,1332.3862,8.2207,21.9626
2019-01-12 19:00:00+00:00,1655.4073,8.9100,21.5580
2019-01-12 20:00:00+00:00,1688.9033,8.9446,21.4676
2019-01-12 21:00:00+00:00,789.9105,7.1245,21.2323
2019-01-12 22:00:00+00:00,349.2611,5.5885,20.9301
2019-01-12 23:00:00+00:00,180.7430,4.6451,20.6137
2019-01-13 00:00:00+00:00,323.6814,5.8546,20.8800
2019-01-13 01:00:00+00:00,307.5766,5.7056,21.5585
2019-01-13 02:00:00+00:00,291.4718,5.5565,22.2369
2019-01-13 03:00:00+00:00,275.3670,5.4075,22.9154
2019-01-13 04:00:00+00:00,259.2622,5.2585,23.5938
2019-01-13 05:00:00+00:00,243.1575,5.1094,24.2723
2019-01-13 06:00:00+00:00,227.0527,4.9604,24.9507
2019-01-13 07:00:00+00:00,210.9479,4.8114,25.6292
2019-01-13 08:00:00+00:00,194.8431,4.6623,26.3076
2019-01-13 09:00:00+00:00,178.7383,4.5133,26.9861
2019-01-13 10:00:00+00:00,162.6335,4.3643,27.6645
2019-01-13 11:00:00+00:00,146.5288,4.2152,28.3430
2019-01-13 12:00:00+00:00,393.8863,5.3627,27.8133
2019-01-13 13:00:00+00:00,636.8455,6.4739,26.5176
2019-01-13 14:00:00+00:00,709.3594,6.5819,25.7672
2019-01-13 15:00:00+00:00,870.0243,7.1779,24.4935
2019-01-13 16:00:00+00:00,971.1016,7.3325,23.3824
2019-01-13 17:00:00+00:00,1283.5139,8.0642,22.6928
2019-01-13 18:00:00+00:00,1405.1799,8.2504,22.1916
2019-01-13 19:00:00+00:00,1402.8991,8.5679,21.5072
2019-01-13 20:00:00+00:00,889.8208,7.3680,20.9965
2019-01-13 21:00:00+00:00,482.3911,6.3850,20.8992
2019-01-13 22:00:00+00:00,451.2477,6.1485,20.7286
2019-01-13 23:00:00+00:00,392.2477,5.8599,20.4605
2019-01-14 00:00:00+00:00,531.7852,6.4218,20.2948
2019-01-14 01:00:00+00:00,463.2764,6.2361,20.1052
2019-01-14 02:00:00+00:00,329.0482,5.6179,20.5675
2019-01-14 03:00:00+00:00,394.9023,5.5020,21.6945
2019-01-14 04:00:00+00:00,270.9304,4.9097,23.2612
2019-01-14 05:00:00+00:00,425.7483,5.5368,24.8133
2019-01-14 06:00:00+00:00,479.6018,5.8715,26.0063
2019-01-14 07:00:00+00:00,322.8236,5.0788,27.5619
2019-01-14 08:00:00+00:00,434.3760,5.4553,28.4742
2019-01-14 09:00:00+00:00,255.1245,4.7994,29.2428
2019-01-14 10:00:00+00:00,454.8067,5.5587,29.4331
2019-01-14 11:00:00+00:00,611.3365,6.2250,28.8499
2019-01-14 12:00:00+00:00,853.2558,7.2156,27.6914
2019-01-14 13:00:00+00:00,1034.6082,7.8069,26.5647
2019-01-14 14:00:00+00:00,1045.2149,7.8051,25.5439
2019-01-14 15:00:00+00:00,1151.3508,7.9901,24.8953
2019-01-14 16:00:00+00:00,999.9995,7.8200,24.3706
2019-01-14 17:00:00+00:00,727.9383,7.2528,23.7711
2019-01-14 18:00:00+00:00,463.8757,6.1610,22.7910
2019-01-14 19:00:00+00:00,283.4267,5.2346,22.5503
2019-01-14 20:00:00+00:00,347.1090,5.7723,22.5417
